category,percentage,sna,cumulative_percentage
bank,5.647840531561462,捷運松山站(3號出口),55.48172757475083
parking,4.983388704318937,捷運松山站(3號出口),60.46511627906976
restaurant,39.52333664349553,信義廣場(台北101),39.52333664349553
drinking_water,7.845084409136048,信義廣場(台北101),47.36842105263158
bank,6.454816285998014,信義廣場(台北101),53.823237338629596
cafe,6.05759682224429,信義廣場(台北101),59.88083416087389
bicycle_rental,5.06454816285998,信義廣場(台北101),64.94538232373387
restaurant,36.52788688138256,建國和平路口西北側,36.527886881382564
cafe,10.604870384917518,建國和平路口西北側,47.13275726630009
bicycle_rental,5.655930871956009,建國和平路口西北側,52.7886881382561
drinking_water,4.634721131186175,建國和平路口西北側,57.423409269442274
parking,3.613511390416339,建國和平路口西北側,61.036920659858616
restaurant,39.39393939393939,捷運善導寺站(3號出口),39.39393939393939
cafe,8.098223615464995,捷運善導寺站(3號出口),47.492163009404386
parking_space,4.754440961337513,捷運善導寺站(3號出口),52.2466039707419
parking,4.493207941483804,捷運善導寺站(3號出口),56.739811912225704
drinking_water,3.3960292580982236,捷運善導寺站(3號出口),60.135841170323936
restaurant,32.9700272479564,臺大資訊大樓,32.9700272479564
bicycle_rental,9.627611262488648,臺大資訊大樓,42.59763851044505
cafe,7.811080835603996,臺大資訊大樓,50.40871934604905
parking,4.178019981834695,臺大資訊大樓,54.586739327883734
drinking_water,3.905540417801998,臺大資訊大樓,58.492279745685735
restaurant,38.79173290937997,捷運芝山站(2號出口),38.79173290937997
bicycle_rental,6.200317965023848,捷運芝山站(2號出口),44.992050874403816
shelter,4.92845786963434,捷運芝山站(2號出口),49.92050874403816
clinic,4.769475357710652,捷運芝山站(2號出口),54.68998410174881
cafe,4.610492845786964,捷運芝山站(2號出口),59.30047694753577
restaurant,38.768115942028984,新生和平路口東北側,38.768115942028984
cafe,11.08695652173913,新生和平路口東北側,49.85507246376812
bicycle_rental,4.9275362318840585,新生和平路口東北側,54.78260869565217
drinking_water,3.985507246376811,新生和平路口東北側,58.768115942028984
parking,3.4782608695652173,新生和平路口東北側,62.2463768115942
restaurant,30.341113105924595,臺大水源舍區A棟,30.341113105924595
cafe,9.964093357271095,臺大水源舍區A棟,40.30520646319569
bicycle_rental,7.001795332136446,臺大水源舍區A棟,47.307001795332134
parking,6.104129263913824,臺大水源舍區A棟,53.41113105924597
bench,6.104129263913824,臺大水源舍區A棟,59.515260323159794
restaurant,36.96808510638298,臺大凝態館南側,36.96808510638298
cafe,10.372340425531915,臺大凝態館南側,47.340425531914896
bicycle_rental,7.047872340425531,臺大凝態館南側,54.38829787234043
drinking_water,3.9228723404255317,臺大凝態館南側,58.31117021276596
parking,3.789893617021277,臺大凝態館南側,62.101063829787236
restaurant,46.86888454011742,南京林森路口(東南側),46.86888454011741
cafe,9.58904109589041,南京林森路口(東南側),56.45792563600782
bank,5.185909980430528,南京林森路口(東南側),61.643835616438345
parking,3.6203522504892365,南京林森路口(東南側),65.26418786692759
fast_food,3.131115459882583,南京林森路口(東南側),68.39530332681016
restaurant,33.789625360230545,臺大農業陳列館北側,33.78962536023055
cafe,9.510086455331413,臺大農業陳列館北側,43.29971181556197
bicycle_rental,7.204610951008646,臺大農業陳列館北側,50.50432276657062
parking,4.46685878962536,臺大農業陳列館北側,54.97118155619598
drinking_water,4.394812680115274,臺大農業陳列館北側,59.36599423631126
restaurant,33.268671193016495,臺大社科院圖書館前,33.268671193016495
bicycle_rental,10.08729388942774,臺大社科院圖書館前,43.355965082444236
cafe,7.274490785645005,臺大社科院圖書館前,50.63045586808924
parking,4.75266731328807,臺大社科院圖書館前,55.383123181377314
drinking_water,4.073714839961203,臺大社科院圖書館前,59.45683802133852
restaurant,46.58493870402802,捷運松江南京站(7號出口),46.58493870402801
cafe,8.639813193228255,捷運松江南京站(7號出口),55.22475189725626
bank,6.42148277875073,捷運松江南京站(7號出口),61.646234676007
parking,4.144775248102744,捷運松江南京站(7號出口),65.79100992410973
bicycle_rental,3.502626970227671,捷運松江南京站(7號出口),69.2936368943374
restaurant,47.63729246487867,捷運後山埤站(1號出口),47.63729246487867
bicycle_rental,6.513409961685824,捷運後山埤站(1號出口),54.15070242656449
bank,5.363984674329502,捷運後山埤站(1號出口),59.514687100893994
place_of_worship,5.236270753512133,捷運後山埤站(1號出口),64.75095785440612
fast_food,3.5759897828863343,捷運後山埤站(1號出口),68.32694763729246
