"times","stop_id1","longitude1（經度）","latitude1（緯度）","stop_id2","longitude2","latitude2"
4,"U101006",121.54328,25.02429,"U119085",121.54247,25.0185700025
2,"U101006",121.54328,25.02429,"U119087",121.54031,25.0169000025
14,"U101006",121.54328,25.02429,"U119088",121.54347,25.0199500025
2,"U101006",121.54328,25.02429,"U119089",121.54242,25.0179100025
1,"U101007",121.54326,25.02253,"U101010",121.53361,25.0189400025
38,"U101007",121.54326,25.02253,"U101013",121.54332,25.0254300025
1,"U101007",121.54326,25.02253,"U101022",121.53438,25.0149100025
1,"U101007",121.54326,25.02253,"U101033",121.5452,25.0166400025
15,"U101007",121.54326,25.02253,"U101036",121.54497,25.0203200025
36,"U101007",121.54326,25.02253,"U101037",121.54432,25.0207600025
202,"U101007",121.54326,25.02253,"U101038",121.54284,25.0210100025
34,"U101007",121.54326,25.02253,"U101039",121.54081,25.0210400025
3,"U101007",121.54326,25.02253,"U101042",121.54471,25.0172700025
1,"U101007",121.54326,25.02253,"U101092",121.54704,25.0216410025
85,"U101007",121.54326,25.02253,"U101093",121.544069,25.0214690025
34,"U101007",121.54326,25.02253,"U101166",121.54459,25.0246900025
1,"U101007",121.54326,25.02253,"U101181",121.53374,25.0155100025
41,"U101007",121.54326,25.02253,"U101190",121.54108,25.0234700025
12,"U101007",121.54326,25.02253,"U101191",121.54561,25.0205400025
83,"U101007",121.54326,25.02253,"U101209",121.54153,25.0210100025
1,"U101007",121.54326,25.02253,"U119045",121.53404,25.0183900025
2,"U101007",121.54326,25.02253,"U119047",121.53844,25.0176100025
23,"U101007",121.54326,25.02253,"U119049",121.53902,25.0193700025
12,"U101007",121.54326,25.02253,"U119050",121.5376,25.0184600025
25,"U101007",121.54326,25.02253,"U119052",121.54059,25.0185700025
20,"U101007",121.54326,25.02253,"U119054",121.5404,25.0194100025
5,"U101007",121.54326,25.02253,"U119055",121.53585,25.0179300025
1,"U101007",121.54326,25.02253,"U119058",121.53583,25.0198000025
7,"U101007",121.54326,25.02253,"U119064",121.54398,25.0175400025
1,"U101007",121.54326,25.02253,"U119065",121.53574,25.0169900025
130,"U101007",121.54326,25.02253,"U119067",121.54145,25.0205300025
62,"U101007",121.54326,25.02253,"U119068",121.54175,25.0198700025
23,"U101007",121.54326,25.02253,"U119071",121.53992,25.0203600025
3,"U101007",121.54326,25.02253,"U119072",121.53868,25.0188100025
10,"U101007",121.54326,25.02253,"U119075",121.53995,25.0176100025
16,"U101007",121.54326,25.02253,"U119076",121.54195,25.0192200025
2,"U101007",121.54326,25.02253,"U119077",121.536,25.0189000025
1,"U101007",121.54326,25.02253,"U119078",121.53888,25.0170400025
1,"U101007",121.54326,25.02253,"U119079",121.53455,25.0169800025
12,"U101007",121.54326,25.02253,"U119083",121.53846,25.0196000025
20,"U101007",121.54326,25.02253,"U119084",121.54305,25.0190000025
16,"U101007",121.54326,25.02253,"U119085",121.54247,25.0185700025
3,"U101007",121.54326,25.02253,"U119086",121.53928,25.0180400025
2,"U101007",121.54326,25.02253,"U119087",121.54031,25.0169000025
